"Title","City","Library","Collection","Number","High Resolution","Digitization","Pinakes","Local catalog","Century","Subject theme","Subject name","Script","Bibliographic note 1","Bibliographic note 2","Bibliographic link"
"BML Plut. 71.32","Florence","BML","Plut.","71.32","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000854656","http://pinakes.irht.cnrs.fr/notices/cote/id/16626","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/34","14th","Philosophy","Porphyry","","","",""
"BML Plut. 71.33","Florence","BML","Plut.","71.33","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000855360","http://pinakes.irht.cnrs.fr/notices/cote/id/16627","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/35","14th","Philosophy","anon.","","","",""
"BML Plut. 71.34","Florence","BML","Plut.","71.34","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000856206","http://pinakes.irht.cnrs.fr/notices/cote/id/16628","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/35","14th","Philosophy","","","","",""
"BML Plut. 71.35","Florence","BML","Plut.","71.35","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000856365","http://pinakes.irht.cnrs.fr/notices/cote/id/16629","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/37","13th","Philosophy","Porphyry","Barocca","","",""
"BML Plut. 72.01","Florence","BML","Plut.","72.01","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000857009","http://pinakes.irht.cnrs.fr/notices/cote/id/16630","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/38","13th","Philosophy","David|Porphyry","","","",""
"BML Plut. 72.02","Florence","BML","Plut.","72.02","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000856758","http://pinakes.irht.cnrs.fr/notices/cote/id/16631","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/39","16th","Philosophy","Alexander Aphrodisias|Aristotle","","","",""
"BML Plut. 72.03","Florence","BML","Plut.","72.03","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000857588","http://pinakes.irht.cnrs.fr/notices/cote/id/16632","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/39","12th","Philosophy","Aristotle","Barocca","","",""
"BML Plut. 72.04","Florence","BML","Plut.","72.04","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000857895","http://pinakes.irht.cnrs.fr/notices/cote/id/16633","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/40","13th","Philosophy","Aristotle","","","",""
"BML Plut. 72.05","Florence","BML","Plut.","72.05","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000858496","http://pinakes.irht.cnrs.fr/notices/cote/id/16634","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/40","14th","Philosophy","Aristotle","","","",""
"BML Plut. 72.06","Florence","BML","Plut.","72.06","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000859069","http://pinakes.irht.cnrs.fr/notices/cote/id/16635","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/40","15th","Philosophy","Alexander Aphrodisias|Aristotle","","","",""
"BML Plut. 72.07","Florence","BML","Plut.","72.07","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000859240","http://pinakes.irht.cnrs.fr/notices/cote/id/16636","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/41","13th","Philosophy","Ammonius|Porphyry","","","",""
"BML Plut. 72.08","Florence","BML","Plut.","72.08","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000859523","http://pinakes.irht.cnrs.fr/notices/cote/id/16637","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/41","15th","Philosophy","Aristotle","","","",""
"BML Plut. 72.09","Florence","BML","Plut.","72.09","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000860227","http://pinakes.irht.cnrs.fr/notices/cote/id/16638","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/41","15th","Philosophy","Alexander Aphrodisias|Aristotle","","","",""
"BML Plut. 72.10","Florence","BML","Plut.","72.10","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000860586","http://pinakes.irht.cnrs.fr/notices/cote/id/16639","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/41","14th","Philosophy","Aristotle","","","",""
"BML Plut. 72.11","Florence","BML","Plut.","72.11","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000859624","http://pinakes.irht.cnrs.fr/notices/cote/id/16640","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/41","15th","Philosophy","Alexander Aphrodisias|Aristotle","","","",""
"BML Plut. 72.12","Florence","BML","Plut.","72.12","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000861089","http://pinakes.irht.cnrs.fr/notices/cote/id/16641","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/41","13th","Philosophy","Aristotle","","","",""
"BML Plut. 72.13","Florence","BML","Plut.","72.13","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000861600","http://pinakes.irht.cnrs.fr/notices/cote/id/16642","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/42","15th","Philosophy","Alexander Aphrodisias|Aristotle","","","",""
"BML Plut. 72.14","Florence","BML","Plut.","72.14","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000863380","http://pinakes.irht.cnrs.fr/notices/cote/id/16643","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/42","13th","Philosophy","Aristotle","Barocca","","",""
"BML Plut. 72.15","Florence","BML","Plut.","72.15","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000862418","http://pinakes.irht.cnrs.fr/notices/cote/id/16644","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/42","14th","Philosophy","Aristotle","","","",""
"BML Plut. 72.16","Florence","BML","Plut.","72.16","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000863545","http://pinakes.irht.cnrs.fr/notices/cote/id/16645","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/43","15th","Philosophy","Aristotle","","","",""
"BML Plut. 72.17","Florence","BML","Plut.","72.17","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000862011","http://pinakes.irht.cnrs.fr/notices/cote/id/16646","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/43","14th","Philosophy","Aristotle","","","",""
"BML Plut. 72.18","Florence","BML","Plut.","72.18","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000862613","http://pinakes.irht.cnrs.fr/notices/cote/id/16647","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/43","15th","Philosophy","Aristotle","","","",""
"BML Plut. 72.19","Florence","BML","Plut.","72.19","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000862860","http://pinakes.irht.cnrs.fr/notices/cote/id/16648","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/43","14th","Philosophy","Aristotle","Barocca","","",""
"BML Plut. 72.21","Florence","BML","Plut.","72.21","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000863684","http://pinakes.irht.cnrs.fr/notices/cote/id/16650","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/44","15th","Philosophy","Dexippus|Aristotle","","","",""
"BML Plut. 72.22","Florence","BML","Plut.","72.22","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000863771","http://pinakes.irht.cnrs.fr/notices/cote/id/16651","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/44","13th","Philosophy","Ammonius|Porphyry","Barocca","","",""
"BML Plut. 72.23","Florence","BML","Plut.","72.23","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000864064","http://pinakes.irht.cnrs.fr/notices/cote/id/16652","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/44","13th","Philosophy","Ammonius|Aristotle","","","",""
"BML Plut. 72.24","Florence","BML","Plut.","72.24","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000872611","http://pinakes.irht.cnrs.fr/notices/cote/id/16653","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/44","14th","Philosophy","Themistius|Aristotle","","","",""
"BML Plut. 72.25","Florence","BML","Plut.","72.25","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000865227","http://pinakes.irht.cnrs.fr/notices/cote/id/16654","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/45","15th","Philosophy","Themistius|Aristotle","","","",""
"BML Plut. 72.26","Florence","BML","Plut.","72.26","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000865030","http://pinakes.irht.cnrs.fr/notices/cote/id/16655","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/45","13th","Philosophy","David|Porphyry","","","",""
"BML Plut. 72.28","Florence","BML","Plut.","72.20","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000863001","http://pinakes.irht.cnrs.fr/notices/cote/id/16649","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/44","14th","Philosophy","Aristotle","","","",""
"BML Plut. 74.01","Florence","BML","Plut.","74.01","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000886628","http://pinakes.irht.cnrs.fr/notices/cote/id/16656","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/46","15th","Medicine","Hippocrates","","","",""
"BML Plut. 74.02","Florence","BML","Plut.","74.02","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000885318","http://pinakes.irht.cnrs.fr/notices/cote/id/16657","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/48","11th","Medicine","Paul of Aegina","","","",""
"BML Plut. 74.03","Florence","BML","Plut.","74.03","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000884907","http://pinakes.irht.cnrs.fr/notices/cote/id/16658","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/49","12th","Medicine","Galen","","","",""
"BML Plut. 74.04","Florence","BML","Plut.","74.04","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000887355","http://pinakes.irht.cnrs.fr/notices/cote/id/16659","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/50","","Medicine","Galen","","","",""
"BML Plut. 74.05","Florence","BML","Plut.","74.05","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000887872","http://pinakes.irht.cnrs.fr/notices/cote/id/16660","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/52","14th","Medicine","Galen","","","",""
"BML Plut. 74.06","Florence","BML","Plut.","74.06","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000886107","http://pinakes.irht.cnrs.fr/notices/cote/id/16661","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/52","14th","Medicine","Galen","","","",""
"BML Plut. 74.07","Florence","BML","Plut.","74.07","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0001016564","http://pinakes.irht.cnrs.fr/notices/cote/id/16662","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/52","11th","Medicine","Hippocrates","Bouletée","","",""
"BML Plut. 74.08","Florence","BML","Plut.","74.08","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000888762","http://pinakes.irht.cnrs.fr/notices/cote/id/16663","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/72","15th","Medicine","Galen","","","",""
"BML Plut. 74.09","Florence","BML","Plut.","74.09","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000889265","http://pinakes.irht.cnrs.fr/notices/cote/id/16664","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/72","14th","Medicine","Galen","","","",""
"BML Plut. 74.10","Florence","BML","Plut.","74.10","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000890934","http://pinakes.irht.cnrs.fr/notices/cote/id/16665","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/73","14th","Medicine","Galen","","","",""
"BML Plut. 74.11","Florence","BML","Plut.","74.11","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000888265","http://pinakes.irht.cnrs.fr/notices/cote/id/16666","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/74","13th","Medicine","Hippocrates","","","",""
"BML Plut. 74.12","Florence","BML","Plut.","74.12","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000889984","http://pinakes.irht.cnrs.fr/notices/cote/id/16667","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/75","15th","Medicine","Galen","","","",""
"BML Plut. 74.13","Florence","BML","Plut.","74.13","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000890163","http://pinakes.irht.cnrs.fr/notices/cote/id/16668","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/76","15th","Medicine","Hippocrates","","","",""
"BML Plut. 74.14","Florence","BML","Plut.","74.14","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000893095","http://pinakes.irht.cnrs.fr/notices/cote/id/16669","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/83","15th","Medicine","Galen","","","",""
"BML Plut. 74.15","Florence","BML","Plut.","74.15","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000892798","http://pinakes.irht.cnrs.fr/notices/cote/id/16670","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/83","14th","Medicine","Oribasius","","","",""
"BML Plut. 74.16","Florence","BML","Plut.","74.16","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000891667","http://pinakes.irht.cnrs.fr/notices/cote/id/16671","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/84","14th","Medicine","Galen","","","",""
"BML Plut. 74.17","Florence","BML","Plut.","74.17","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000892014","http://pinakes.irht.cnrs.fr/notices/cote/id/16672","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/84","12th","Medicine","Oribasius","","","",""
"BML Plut. 74.18","Florence","BML","Plut.","74.18","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000893431","http://pinakes.irht.cnrs.fr/notices/cote/id/16673","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/85","14th","Medicine","Galen","","","",""
"BML Plut. 74.19","Florence","BML","Plut.","74.19","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000892321","http://pinakes.irht.cnrs.fr/notices/cote/id/16674","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/86","15th","Medicine","John of Damascus","","","",""
"BML Plut. 74.21","Florence","BML","Plut.","74.21","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000894094","http://pinakes.irht.cnrs.fr/notices/cote/id/16676","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/86","15th","Medicine","Paul of Aegina","","","",""
"BML Plut. 74.22","Florence","BML","Plut.","74.22","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000897188","http://pinakes.irht.cnrs.fr/notices/cote/id/16677","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/87","14th","Medicine","Galen","","","",""
"BML Plut. 74.23","Florence","BML","Plut.","74.23","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000894213","http://pinakes.irht.cnrs.fr/notices/cote/id/16678","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/88","14th","Medicine","Dioscorides","","","",""
"BML Plut. 74.24","Florence","BML","Plut.","74.24","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000894652","http://pinakes.irht.cnrs.fr/notices/cote/id/16679","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/89","15th","Medicine","Paul of Aegina","","","",""
"BML Plut. 74.25","Florence","BML","Plut.","74.25","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000896053","http://pinakes.irht.cnrs.fr/notices/cote/id/16680","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/89","14th","Medicine","Galen","","","",""
"BML Plut. 74.26","Florence","BML","Plut.","74.26","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000894835","http://pinakes.irht.cnrs.fr/notices/cote/id/16681","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/90","14th","Medicine","Paul of Aegina","","","",""
"BML Plut. 74.27","Florence","BML","Plut.","74.27","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000896833","http://pinakes.irht.cnrs.fr/notices/cote/id/16682","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/90","14th","Medicine","Paul of Aegina","","","",""
"BML Plut. 74.28","Florence","BML","Plut.","74.20","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000893236","http://pinakes.irht.cnrs.fr/notices/cote/id/16675","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/86","15th","Medicine","Dioscorides","","","",""
"BML Plut. 74.28","Florence","BML","Plut.","74.28","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000895244","http://pinakes.irht.cnrs.fr/notices/cote/id/16683","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/90","14th","Medicine","Galen","","","",""
"BML Plut. 74.29","Florence","BML","Plut.","74.29","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000896388","http://pinakes.irht.cnrs.fr/notices/cote/id/16684","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/91","11th","Medicine","Paul of Aegina","","","",""
"BML Plut. 74.31","Florence","BML","Plut.","74.31","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000897297","http://pinakes.irht.cnrs.fr/notices/cote/id/16686","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/91","14th","Medicine","Paul of Aegina","","","",""
"BML Plut. 74.37","Florence","BML","Plut.","74.30","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000897742","http://pinakes.irht.cnrs.fr/notices/cote/id/16685","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/91","14th","Medicine","Galen","","","",""
"BML Plut. 75.02","Florence","BML","Plut.","75.02","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000898045","http://pinakes.irht.cnrs.fr/notices/cote/id/16687","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/97","14th","Medicine","Aetius","","","",""
"BML Plut. 75.03","Florence","BML","Plut.","75.03","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000899852","http://pinakes.irht.cnrs.fr/notices/cote/id/16688","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/98","12th","Medicine","","","","",""
"BML Plut. 75.04","Florence","BML","Plut.","75.04","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000899355","http://pinakes.irht.cnrs.fr/notices/cote/id/16689","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/98","15th","Medicine","","","","",""
"BML Plut. 75.05","Florence","BML","Plut.","75.05","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000898684","http://pinakes.irht.cnrs.fr/notices/cote/id/16690","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/100","14th","Medicine","Aetius","","","",""
"BML Plut. 75.06","Florence","BML","Plut.","75.06","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000900393","http://pinakes.irht.cnrs.fr/notices/cote/id/16691","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/101","14th","Medicine","","","","",""
"BML Plut. 75.07","Florence","BML","Plut.","75.07","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000903758","http://pinakes.irht.cnrs.fr/notices/cote/id/16692","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/103","14th","Medicine","Aetius","","","",""
"BML Plut. 75.08","Florence","BML","Plut.","75.08","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000900970","http://pinakes.irht.cnrs.fr/notices/cote/id/16693","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/104","15th","Medicine","Aetius","","","",""
"BML Plut. 75.09","Florence","BML","Plut.","75.09","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000902793","http://pinakes.irht.cnrs.fr/notices/cote/id/16694","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/105","15th","Medicine","Actuarius","","","",""
"BML Plut. 75.10","Florence","BML","Plut.","75.10","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000901911","http://pinakes.irht.cnrs.fr/notices/cote/id/16695","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/105","13th","Medicine","Galen","","","",""
"BML Plut. 75.11","Florence","BML","Plut.","75.11","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000902198","http://pinakes.irht.cnrs.fr/notices/cote/id/16696","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/106","15th","Medicine","Actuarius","","","",""
"BML Plut. 75.12","Florence","BML","Plut.","75.12","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000904265","http://pinakes.irht.cnrs.fr/notices/cote/id/16697","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/107","15th","Medicine","Aetius","","","",""
"BML Plut. 75.13","Florence","BML","Plut.","75.13","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000904484","http://pinakes.irht.cnrs.fr/notices/cote/id/16698","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/107","15th","Medicine","Aetius","","","",""
"BML Plut. 75.14","Florence","BML","Plut.","75.14","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000904805","http://pinakes.irht.cnrs.fr/notices/cote/id/16699","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/108","15th","Medicine","Alexander medicus","","","",""
"BML Plut. 75.15","Florence","BML","Plut.","75.15","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000905016","http://pinakes.irht.cnrs.fr/notices/cote/id/16700","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/108","15th","Medicine","Aretaeus","","","",""
"BML Plut. 75.16","Florence","BML","Plut.","75.16","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000906393","http://pinakes.irht.cnrs.fr/notices/cote/id/16701","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/109","15th","Medicine","Actuarius","","","",""
"BML Plut. 75.17","Florence","BML","Plut.","75.17","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000905171","http://pinakes.irht.cnrs.fr/notices/cote/id/16702","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/110","14th","Medicine","Galen","","","",""
"BML Plut. 75.18","Florence","BML","Plut.","75.18","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000905822","http://pinakes.irht.cnrs.fr/notices/cote/id/16703","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/110","14th","Medicine","Aetius","","","",""
"BML Plut. 75.19","Florence","BML","Plut.","75.19","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000907224","http://pinakes.irht.cnrs.fr/notices/cote/id/16704","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/110","14th","Medicine|Astronomy","","","","",""
"BML Plut. 75.20","Florence","BML","Plut.","75.20","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000908144","http://pinakes.irht.cnrs.fr/notices/cote/id/16705","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/111","14th","Medicine","Aetius","","","",""
"BML Plut. 75.21","Florence","BML","Plut.","75.21","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000907619","http://pinakes.irht.cnrs.fr/notices/cote/id/16706","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/112","13th","Medicine","Aetius","","","",""
"BML Plut. 75.22","Florence","BML","Plut.","75.22","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000908677","http://pinakes.irht.cnrs.fr/notices/cote/id/16707","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/112","15th","Medicine","Hippocrates|Palladius","","","",""
"BML Plut. 80.01","Florence","BML","Plut.","80.01","No","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000945296","http://pinakes.irht.cnrs.fr/notices/cote/id/16708","http://teca.bmlonline.it/ImageViewer/servlet/ImageViewer?idr=TECA0000004361#page/113","14th","Law","","","","",""
