"Title","City","Library","Collection","Number","High Resolution","Digitization","Pinakes","Local catalog","Century","Subject theme","Subject name","Script","Bibliographic note 1","Bibliographic note 2","Bibliographic link"
"BAR Ms. Gr. 452","Bucuresti","BAR","Ms. gr.","452","Yes","http://www.e-corpus.org/ita/ref/141331/Ms._Gr._452/","http://pinakes.irht.cnrs.fr/notices/cote/id/10525","http://hdl.handle.net/2027/nyp.33433087368548?urlappend=%3Bseq%3D305","15th|16th","Misc.|Philosophy","Aristotle|Nemesius|Gennadios II Scholarios|Michael Psellus","","","",""
"BAR Ms. Gr. 492","Bucuresti","BAR","Ms. gr.","492","Yes","http://www.e-corpus.org/ita/ref/141333/Ms._Gr._492/","http://pinakes.irht.cnrs.fr/notices/cote/id/10565","http://hdl.handle.net/2027/nyp.33433087368548?urlappend=%3Bseq%3D310","15th|16th","Rhetoric|Grammar","Aeschines|Manuel Moschopoulus","","","",""
"BAR Ms. Gr. 508","Bucuresti","BAR","Ms. gr.","508","Yes","http://www.e-corpus.org/ita/ref/141335/Ms._Gr._508/","http://pinakes.irht.cnrs.fr/notices/cote/id/10581","http://hdl.handle.net/2027/nyp.33433087368548?urlappend=%3Bseq%3D289","13th","Letters","","","","",""
"BAR Ms. Gr. 561","Bucuresti","BAR","Ms. gr.","561","Yes","http://www.e-corpus.org/ita/ref/141336/Ms._Gr._561/","http://pinakes.irht.cnrs.fr/notices/cote/id/10634","http://hdl.handle.net/2027/nyp.33433087368548?urlappend=%3Bseq%3D300","14th|15th","Bible|Theology","Nicephorus Blemmydes","","","",""
"BAR Ms. Gr. 646","Bucuresti","BAR","Ms. gr.","646","Yes","http://www.e-corpus.org/ita/ref/141338/Ms._Gr._646/","http://pinakes.irht.cnrs.fr/notices/cote/id/10719","http://hdl.handle.net/2027/nyp.33433087368548?urlappend=%3Bseq%3D292","14th","","Synesius|Maximus Planudes","","","",""
"BAR Ms. Gr. 665","Bucuresti","BAR","Ms. gr.","665","Yes","http://www.e-corpus.org/ita/ref/141339/Ms._Gr._665/","http://pinakes.irht.cnrs.fr/notices/cote/id/10738","http://hdl.handle.net/2027/nyp.33433087368548?urlappend=%3Bseq%3D177","12th","Bible","","","","",""
"BAR Ms. Gr. 739","Bucuresti","BAR","Ms. gr.","739","Yes","http://www.e-corpus.org/ita/ref/141340/Ms._Gr._739/","http://pinakes.irht.cnrs.fr/notices/cote/id/10811","http://hdl.handle.net/2027/nyp.33433087368548?urlappend=%3Bseq%3D180","13th","Poems","","","","",""
"BAR Ms. Gr. 872","Bucuresti","BAR","Ms. gr.","872","Yes","http://www.e-corpus.org/ita/ref/141441/Ms._Gr._872/","http://pinakes.irht.cnrs.fr/notices/cote/id/10945","","","Bible","","","","",""
"BAR Ms. Gr. 931","Bucuresti","BAR","Ms. gr.","931","Yes","http://www.e-corpus.org/ita/ref/141341/Ms._Gr._931/","http://pinakes.irht.cnrs.fr/notices/cote/id/11005","","14th","Theology","","","","",""
"BAR Ms. Gr. 932","Bucuresti","BAR","Ms. gr.","932","Yes","http://www.e-corpus.org/ita/ref/141342/Ms._Gr._932/","http://pinakes.irht.cnrs.fr/notices/cote/id/11006","","","Bible","","","","",""
"BAR Ms. Gr. 934","Bucuresti","BAR","Ms. gr.","934","Yes","http://www.e-corpus.org/ita/ref/141343/Ms._Gr._934/","http://pinakes.irht.cnrs.fr/notices/cote/id/11008","","","Bible","","","","",""
"BAR Ms. Gr. 935","Bucuresti","BAR","Ms. gr.","935","Yes","http://www.e-corpus.org/ita/ref/141344/Ms._Gr._935/","http://pinakes.irht.cnrs.fr/notices/cote/id/11009","","","Bible","","","","",""
"BAR Ms. Gr. 936","Bucuresti","BAR","Ms. gr.","936","Yes","http://www.e-corpus.org/ita/ref/141345/Ms._Gr._936/","http://pinakes.irht.cnrs.fr/notices/cote/id/11010","","","Bible","","","","",""
"BAR Ms. Gr. 94","Bucuresti","BAR","Ms. gr.","94","Yes","http://www.e-corpus.org/ita/ref/141315/Ms._Gr._94/","http://pinakes.irht.cnrs.fr/notices/cote/id/10166","http://hdl.handle.net/2027/nyp.33433087368548?urlappend=%3Bseq%3D177","12th","Bible","","","","",""
"BAR Ms. Gr. 953","Bucuresti","BAR","Ms. gr.","953","Yes","http://www.e-corpus.org/ita/ref/141346/Ms._Gr._953/","http://pinakes.irht.cnrs.fr/notices/cote/id/11027","","","Sticherion","","","","",""
